Company,Brief Description,Protein Category,Company Focus,Company type,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Region,State,City,Website,Year Founded,Founders,Logo
Vrab Protein,Plant based seafood company developing crab and then other seafood products that target the South East Asian Market. ,Plant-based,"Meat,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,Crab,,Asia Pacific,Singapore,,Singapore ,https://vrabprotein.com/,2021,"Guang Shin Tan, Derek Loh, Vicki Wu ",vrab_protein_logo.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/bVykrgn4TQHskShzBEZnOg/QDYwp8qPmfIgjqvEsePNDPwKIHhwIjfK5tjX_SKAQ5AvOpLOhcIyBQVTrpZjKvoR3m4MB0zvLIbcInaKs-vbXeQuoHy3PEP3reWxaY_2bX9HJJkuseBMuck5WeFh7qrO_Gy9rZSFmFMleDHA0smpbXvd0iIx9fPOU1o6Ihs39JE/E613aE5HwGmz0-JYP-V8-NlGcZ1wB_d8ii5Hxh0xKXw)
Bettermoo(d),Canadian plant-based dairy company ,Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Milk,Other dairy",Other,Oat,U.S. and Canada,Canada,,Vancouver,https://www.bettermoo.com/,2021,,bettermood.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/OTgPaFzicVwcyZQoHjjrUg/aqzDuE5sBWnxRHClGNfU54R4ULux0oOEpMhQVlCOGxKjyEgRVBOS1R5-Q0Aq0DN_rPOe0I_qqgBcANTwiRkV95tA_oFoyUrM3ad7I1nxkUuCggki13aubGtFV2zdQj33s-Di6t5mivWZXjksH2LmiQ/lbqM7ly48woN-lvj8MzpIcAXx45hsukCCJrEBu7XX6k)
"Sundial Foods, Inc. ","California-based company industrializing extrusion-free processing method for for plant-based whole cuts of meat and producing chickpea-based chicken wings with skin, meat, and bone",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Whole muscle meat/seafood,Other meat/seafood",Chicken,Chickpea,U.S. and Canada,United States,California,Albany,www.sundialfoods.com,2019,"Jessica Schwabach, Siwen Deng",SundialFoods.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/2oKN_bSStnHEmFF1eQ0Utw/cgEgcpFCfqsrPKtMmWJCXZ98IS4PJUnUv-sgj9jz_h6nvKenWzSeC6_G0n0MOSyV0fzRk_CDNUSL0qvLofI348fKn6JMkwW8Tq18B3gZ6UfBlrGpgyLYR8MEZc_7zpFeQol_p5fdlTCQhOR-IWYEVQ/YGr3JoWdUXdkltoMh8fue3PyGCoBe3trOnUIL9INdCU)
Revo Foods,Austria-based company producing 3D printed plant-based seafoods with realistic structure and high fibrosity,Plant-based,"Meat,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,Whole muscle meat/seafood,Fish,"Algae,Pea",Europe,Austria,,Vienna,https://revo-foods.com,2021,"Robin Simsa, Theresa Rothenbücher, Manuel Lachmayr",revofoods_logo.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/miGAcHnIX0Zs-zwzJW87Hw/rlOoSE6KcdNzG-wShF6lj31qlbmoZP9i9feLl0thb3Wb-tnBnV_HX361w3SUootvYoYASKvWbrIPyrbhPWvZ3ztscfpwKWqLOzB65pV82yPWAcl92pfyDphpr9qMwLfqrVwFZrvp-t2tsuafmF8TlA/lwh9QwALN6TzAre2kWy8Cy-xD2VtaBaVeoB2W3jYbG0)
Sea & Believe,Ireland-based company producing plant-based seafood and burgers using locally-harvested seafood and micro algae.,Plant-based,Seafood,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,Fish,"Algae,Seaweed",Europe,Ireland,,Dublin,https://www.sea-believe.com/,2020,Jennifer O'Brien,Plantruption.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/E2fqve8M3iOQG0-XVN1AZw/auYEQbNbj3Yl5eXyjBlJ03aEAkjieEzNrNhxzzfGjo8JC_aanqIqhOUAo2iRqxeouwFChSfJvpRsMLRTezaNI8c8LkcaQGH1uWXGgThUC03ND4UdkwloH9ZmuEZe-o9m-2HOnZQ4rs-G_rspvsjThQ/IdW3okbXgQT7Xo5vWGXvIjqZOHtwhOTFb5ctGkAvY54)
Seasogood,Netherlands-based copmany producing plant-based seafood ,Plant-based,"Meat,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,Tuna,Pea,Europe,Netherlands,,Amsterdam,https://seasogood.com,2021,"Pieter Muntendam, Dennis Favier",seasogood_logo.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/nWviClOLlGet5jp1QfijlA/Guruskwp-NozSx286rJiqcsyHLJpvS0Mq10MG4fCFMbpA3XKAiJnM4d6y_Df5iMT5Ahqv7EOnQBuTrrBPuOtiy2xq8rE2jllkdY5IYIeahf8Iioi6P3g5GS5-B7JnXXNgHmqmb3hs-l8MXbnOBkSGA/LxvC54TaqcE2ZGtBnSAppHCn0zWtHEGrfQ029WH0ZxM)
Happy Ocean Foods,Germany-based company producing plant-based seafood ,Plant-based,"Meat,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,Whole muscle meat/seafood,Shellfish,"Algae,Soy",Europe,Germany,,Munich,https://www.happyoceanfoods.com/,2020,"Robin Drummond, Julian Hallet",HappyOceanFoods.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/FhzuZhm_UG3VHGrPCdbfMw/b1pbgSrbPasG5m_0MsH9a2hUopj-rTW73XQwzsDrbIEIXxSPdEKZKjxDohuSxqw39ds9_XnlTpsFwEuhJpFv_DKxNy5V2O3TtMfwfp0hB1LuVjpYIqgXioLRZDMxeIJD-p4AqMWLwYS1hyapGXfGfA/SL4msRbpMK60ibvsdmgA4HOa7M70HpywaBj7xA1NhXs)
Black Sheep Foods,California-based company that produces plant-based mutton emphasizing taste using Branched Chain Fatty Acids,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,Mutton/lamb,Pea,U.S. and Canada,United States,California,San Francisco ,blacksheepfoods.com,2019," Ismael Montanez, Sunny Kumar",BlackSheepLogo.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/ryr4bwDeINm3J2ZsBV7bgQ/0SDovBwx4_p8XwW7TvsLR3sRxjA8r1javOxBxwxF9-rxsReHUVi2c06zFEqC62T1UGxIXA0-JNbcOspDQeosRE5gmSgww1uG_ShgcxDuoR0HDzRcj5OLI7DoKHg3UUgDG-fh2on8OlmeQK-wZmKcgQ/YH1FBubeMy3ViANe0Jz_2W1Z2PmD2tw4kg2aY8CMIEw)
Yo! Egg (Yo Egg),US-based company producing plant-based eggs with yolk and egg white,Plant-based,Eggs,Specialized (focused on alternative proteins),End product formulation and manufacturing,Eggs,,,U.S. and Canada,United States,California,Santa Monica,https://www.yo-egg.com,2021,"Eran Groner, Nisim Ben Cohen, Yosefa Ben Cohen",yo-egg.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/XP59cXePRk5JPYdEbqVb5g/m1D7a3ilaIUdIbXX25s7qNYMGpTyvEHGS3PmrQEggE1RmF4QB3PrHzpFp3dwrdOd3IhGHb6YjVzbEtC3kSH7nmIKEa6gxuUBhEfcccPlkrL8Dy7C2xlAcnXNPzaxESrfDHBsVTbxqJR_7YJS8_SFeg/LTVgaGElGVH2RcCo8DFQ6LxabEKgp-IBlQ43aFOQpEM)
Perfeggt (Lovely Day Foods GmbH),German-based startup making animal-free liquid eggs using fava beans. ,Plant-based,Eggs,Specialized (focused on alternative proteins),End product formulation and manufacturing,Eggs,,Fava bean,Europe,Germany,,Berlin,https://www.perfeggt.co/,2021,Tanja Bogumil,
NFA Foods,California-based company that produces plant-based egg and meat products,Plant-based,"Meat,Eggs,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Eggs","Shellfish,Pork",,U.S. and Canada,United States,California,San Diego ,https://www.nfafoods.com,2019,,NFALOGO.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/MAf3vqloflKXZjDhNrS4Kg/xjgH-AJKOaHCqtG4pJoAE1EIWe47dKI0vA_ujuldDzQTJwAAqAFNYnRM1wpuLbRjq8B307B4-yw2JAxSLKUEV05UWFop--kllJHLIu4AdoCX8v3SXtNgNO93JxAoSuRDiHMuXUYMN-IFhr2HHDTVkw/CtWCyCXVQ4L-FucItXyeFLeOyqFuRmHwTaBrzyIQKZ0)
Norwegian Mycelium (NoMy),Norwegian company producing foods and materials from mycelium (the root-like filaments of fungi),Biomass fermentation,"Ingredients and inputs,Meat",Specialized (focused on alternative proteins),"End product formulation and manufacturing,Bioprocess design",Other meat/seafood,,Mushrooms,Europe,Norway,,Oslo,https://www.nomy.no,2020,"Ingrid Dynna, David Andrew Quist",NoMyLogo.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/lCrhVJGhz8j4D0Je0dRWTg/wMMZX-u8Fpf5gSUFKTHbpiIlGeIj_st_y1-tIIVUbNyZPS-6fY84s5tpO_63niYLzjSWZwnJrV6AYRr2GaZlokF42BzuMZf0k8b5H-23il-opqBvLA2oqIv_V9dYBr4nKr5nESe-nrRG5Xl8b0VvDw/YNzuO_2d6L1q6vU0ZzgfghYma_rf_Lo_1Y6svYK3KnQ)
Crafty Counter,"U.S.-based company that produces a variety of Indian-inspired whole-food plant-based protein products, including plant-based hard boiled eggs under the brand ""WunderEggs""",Plant-based,Eggs,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Eggs,Other",,"Cashew,Almond",U.S. and Canada,United States,Texas,Austin,https://www.craftycounter.com/pages/wundereggs,2018,Hema Reddy,CraftyCounterLogo.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/Q6TI4zJRXet7_tghoYyRsw/NlkbNJkFkaRVbc33zZbBjSRZ_MY5dVQ02bMKRjeMFy7vWlcOXw4Vh-o_Ma4Wec2SX7FWQ-O0bl4I-rkueMT3snU7szsBo0SewBu_653Fl01mSsa8wxAxbFQqp9E-iTAZQ3YCLOFo_MVwlCNudyiHxwvxajnrbZjymazfBHZ41LA/LRPO0ZU9s5dOjEJy5NipAC1PidXz1whEcxKzyo2NQ2A)
Kyomei Proteins,U.K.-based company producing proteins using plants and photosynthesis as a production system to naturally produce meat proteins,Plant molecular farming,"Ingredients and inputs,Meat",Specialized (focused on alternative proteins),Crop development,,,,Europe,United Kingdom,,London,https://kyomei.co.uk,2021,"Meir Wachs, Kyoko Morimoto ",kyomeiproteinslogo.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/fcH8R0fOUZme-Ed8jY7LLQ/OAm4sxg-MldUtwG3MEYnVs7aVYYGay0HfHBX7t5x8UFGpDYL19J-uegM3w_fpGo7jC_PJIq1jzsAXcAs-whUsg2DXZ4UA7oPGkb3XoLQS8qFp2sjMj8nn-cL1Mw_5VdDNAHBX-d9AAwmIgj0e70HPP7vAjKJ0bCYwKxnn9n5mMk/1V-E5qaFyaZI1j1pu02aLGJOU5_LW2vcmxE8r91c1Aw)
Real Deal Milk,Spain-based company that produces milk and dairy products using precision fermentation ,Precision fermentation,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Milk,Other dairy",,"Yeast,Casein,Whey",Europe,Spain,,Barcelona,https://www.realdealmilk.com,2021,Zoltan Toth-Czifra,blue-transparent-logo.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/l9UYYe_NXdvcmYmtiw0_wg/lukTXKe4i3Tf7oafPo4yoVT3t9bvvGIqUPRUrjBO1eXIRJnvkUousovpyQAvdNaIp7lvmkGiqMDH3oendF42NvBAtnBDGqyM3ar4zzOR1V45CnGIQbPmz5oGU8GAbF84giFm24tI_c7ajAUavFXt9zVii4jcr71rWMWPeCADi9c/JqzzDI-CZed2cKJMJWsvraDAfNj4vK1gmmzjPJm5GkI)
Helaina,New york-based company that produces infant milk formula components using human proteins derived from precision fermentation ,Precision fermentation,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other dairy,,Yeast,U.S. and Canada,United States,New York,New York ,https://www.myhelaina.com,2019,Laura Katz,Helaina_Logo-04.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/DPaxyuMXWv_XEPNdbLiYxg/ryEnq8FGyk97xaHOBavS3KBku735MQcE_8rtMt1GN74qjZf653h3cjthzgjM1zVa-v5jV9NmWIDs9DfuNQxsrNDqfN5gs0VcR01ZjIzoROVyKR_XJAlTp5hF1P_bGapmA_SJrMQ2GK3cnRXueZ2IZg/sj9VmGos-cHXBl9c60ycVjvEhQBXulnN4sIUvU93sOI)
ReMilk,Israel-based company that develops microbial fermentation technology for creating dairy products using real milk proteins,Precision fermentation,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Milk,Other dairy",,"Yeast,Casein",Africa/Middle East,Israel,,Tel Aviv,https://www.remilk.com,2019,"Aviv Wolff, Ori Cohavi",Logo_Remilk_1.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/zqH8TYbc_DEm_KN4Xx6IfA/_SftBBoXv_cAwU533T2KiZrtXDiy2OcYFi_WRuhY3TaEOFSnFxMnZw2ZJrqzDljFRvCYjjHoHLFMtCqq1B2ON0-Zf_0G3vDFRA4yUB-VdI1kI_HIAjBM-lIRfctGqgGFh32ESn0edk9Ow8BJ2ltYww/ueOv3qEaydKZAnx6F0mx-oTGDzNLfsnWXmjwdzuYRz0)
"DAIZ, Inc. ",Japan-based company that produces plant-based meat using plant germinated soybeans,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other meat/seafood,,Soy,Asia Pacific,Japan,,Kunamoto,https://www.daiz.inc/en/,2015,Tsuyoshi Ide,
ZhenMeat,China-based company producing domestic plant-based meat products,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other meat/seafood,Ground meat/seafood","Beef/veal,Other","Pea,Fungi",Asia Pacific,Mainland China,,Beijing,https://zhenmeat.com/en,2017,Vince Lv,zhen_logo_b.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/gJNRqexsG20gNRnp1rMcEw/RhN1iTI_ejm-b6f1zf5MF6rwVuQH_v21Ye3ynmx4l0fII91f3k9bOYSdBxcO18VAMNKjQeiHdIuzjTB_L1QIsgv6KZJLV8-tN2YenL5Of_sEKkBNG76Hodd6y27Qf2dcsZu2NukcvNomYufRpbv3fQ/TZb-41B0UfV--uzKcoCHHwLZri3JV1_M3PU3CNqX5mc)
"Hongchang Biotechnology (Suzhou) Co., Ltd.",China-based company producing and supplying a variety of plant-based meat products and food ingredients ,Plant-based,"Meat,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other meat/seafood,Ingredients","Beef/veal,Pork,Chicken,Fish,Crab",Soy,Asia Pacific,Mainland China,,Suzhou,http://en.hongchangfood.cn/,2010,,
Let's Plant Meat,Thailand-based company that produces plant-based meat products ,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Beef/veal,Pork","Soy,Rice",Asia Pacific,Thailand,,,http://www.letsplantmeat.co,2019,Khun Smith Taweelerdniti,
Joes Future Food / Nanjing Zhouzi,"A high-tech company in Nanjing China that engages in cultured meat research and industrialization, including developing serum-free culture media",Cultivated,Meat,Specialized (focused on alternative proteins),"End product formulation and manufacturing,Cell line development",Ground meat/seafood,"Pork,Beef/veal",,Asia Pacific,Mainland China,,Nanjing,http://www.joesfuturefood.com,2019,Dr. Ding Shijie,26715724.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/0NfGrz8C0ZuaMemdw6JOQw/0eq-WduWWarhgbAEu5WvR2-Didxn02J7G9IDC0WUlUhppM8Hdwk_qSocAjNbH-IhYI2ffE_YnvsBak17MofdW0Nv9xX-JvTIDY2PHbCkMnm0cAhOKL87r-MNZDGJwGzsLZ-j1ADVHLwhzClXZWFDNg/9xbL0ZS_S9KC5A_YVkHEJNheeXUR-MyhQIztiwkmfeU)
"Ningbo Sulian Food Co., Ltd.","China-based brand enterprise specializes in plant-based series products R&D, manufacturing, sales, and technological innovation",Plant-based,"Meat,Ingredients and inputs,Food processing infrastructure and equipment,Contract manufacturing/processing",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other meat/seafood,Ground meat/seafood,Ingredients",,Soy,Asia Pacific,Mainland China,,Ningbo,https://www.sulianfood.com/en/,2010,Zhang Xinliang,sulian-logo82-2.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/3u5i8CsbiwjGIy2oWN8xTg/pf6YCEwVzC5nqvBKrCD4P0h59OhA8uUesit50hpnfMm6vrDaEbvc95q4WsXupaVch0zVwQIy-InUO2m6pVAfvNffItxCGdp8fmVgLFT_gzeFEyYOt4VYkTbBIx-IoOeycgShMPkt82DZ6b9hTJp5qA/l_JaYBGrtJqQnPEZDaKBGZ3ZEdqAkT6g-gjnh8J5Rjc)
Phuture Food,"Malaysia-based company producing plant-based meat products, including minced pork",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Pork,Beef/veal","Soy,Chickpea,Pea,Rice",Asia Pacific,Malaysia,,Kuala Lumpur,https://phuturemeat.com,2018,Jack Yap,
Starfield Food Science & Technology ,China-based company that produces and supplies plant-based meat products and plant proteins ,Plant-based,"Ingredients and inputs,Meat",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Other meat/seafood","Beef/veal,Chicken,Pork,Fish","Soy,Wheat",Asia Pacific,Mainland China,,Shenzhen,https://www.starfield.cn/,2019,Liu Shuman ,Starfield logo.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/Xfcj8lfgaQKxRlQfmjrt1g/XISg-5ugdBxDHoaBb_XN9v47W8WZYYmIk9TsQ3Lvftd5qHTruZIiNxwD6K6jJbcchpIAlbIvTCI9QVhFXgrJrwz4KoxnalEq79uqtdO4M5stulC0_uj70DetdhzxcuWRmVTPcIBTkodsu7l4_0s14Q/2yklWEYU6DZR38qLuuadZLQ56E333vUn7oNsEqCpwEs)
The PlantEat,"South Korea-based company researching applications of plant-based ingredients and producing a variety of plant-based products using local Korean ""yakkong"" beans ",Plant-based,"Dairy,Other",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Milk,Other dairy",,Beans,Asia Pacific,South Korea,,,http://theplanteat.com/solution/?lang=en,2017,Jaesik Yang,ThePlantEat_logo.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/jZ9jQAUTpKVOEAf2LohZiQ/kp_ZO9m3yB9qiJky0gS3PNbsePM00xVIsPBrrXwOzYhNpBvxeBHCoVmwB45gD8TPTHqv2-ADJ9taZslxncXO05yTYx4yrBlyKHq0oZzDVy44itYcO9Xvu99gcrn6n4Qj2i26h27_TNkHzFfyfhNV6w/1JNIO2GL6rhld44SvM9HL6QEe4xpV0n5fcz6aVvzoqQ)
Angel Food,New Zealand's original vegan cheese company.,Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Cheese,Other dairy",,"Pea,Potato",Australia/New Zealand,New Zealand,,Auckland,https://www.angelfood.co.nz/,2006,Alice Shopland,3341_Tub_Logo copy.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/jBuBOCv554uTDq7PeUgStA/7LUQWgNiE0R-k6U1Oo7W9qUJUljLQF86MUUbUKO4eusPwaLX20OqCa9s9705UevEQUXW6UFgi1VJ9ORIlLLfexgVZAg6wzKNXyrME4JJkh8IPxWpx3q4gPxV2JV11m17NQCadi6qubNZSHvMpcgk5bwRhIzw7DA24XVMcnxLYeQ/xOIyYbMxTQ2uKkkUpUlHk-3i5vu16U_zLl-PEPSE2QY)
Haofood,China based company that produced alternative poultry protein. Plant-based chicken from peanut is Haofood's first innovation.,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Whole muscle meat/seafood,Ground meat/seafood,Ingredients",Chicken,"Peanut,Soy,Wheat",Asia Pacific,Mainland China,,Shanghai,www.haofood.co,2020,"Astrid Prajogo, Shaowei Liu, Jenny Zhu and Kasih Chen",1. logo color.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/zgO_2YvJt4XiAYSh5OlNiw/14vlu4RmDMISr3S8aEbpY2UaZFOrXoJWW8BYbs6an08OQdvOYkgqyZ6N4qMo9vwkj62aZkFnSP3NY1BSxs9xIG6IdTuRU-YvDeUNiyFe7ubiaahityVfq-UoRVf-YfODNsqf-eSGHFM3rZ-CUK6WmA/TY9t87r1SPsqnyK05z1G-67Gr_lxF6LZ9yCp4YdkoPU)
Zikooin Company,"South Korea-based company producing plant-based meat called ""Unlimeat"" using ""protein compression"" technology and ingredients that would otherwise be discarded due to cosmetic imperfections",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,Beef/veal,"Almond,Rice,Oat,Cashew",Asia Pacific,South Korea,,Seoul,www.unlimeat.com,2017,,Screenshot 2023-10-16 185814.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/Mu7ixWaTzArcXF-bHg455w/82169EwWaWTVhJm7JqOVMdR9iUEY-cO2sH0yMKXM03jUm5_6zliYmLMGRhf-0SyyX4BP9LVi-mZl3719Qh1HRLfZJWoWugQhDNVB55eIEmH9e1WT56-64XIZvxdzaSH1fmlBurEVz3l_U1Gr7AIqtpGezhitt4atZIJdXqq5fqg/Up9Sza2PcAdpSTRGtjcudjJR9vtB1cpnmWyrNjGfV6I)
"Shenzhen Whole Perfect Foods Co., Ltd. / Qishan",China-based company producing a variety of plant-based meat products. 	,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Other meat/seafood","Beef/veal,Chicken,Pork,Other","Soy,Pea,Algae,Mushrooms",Asia Pacific,Mainland China,,Shenzhen,http://www.qishanfoods.com/index.html,1993,"Yu Zhaode, Yuanyuan Xie",
The Mushroom Meat Co.,US-based company that produces mushroom-based meat products from upcycled mushrooms and plants for health conscious consumers.,Plant-based,"Meat,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Whole muscle meat/seafood,Ground meat/seafood,Other meat/seafood,Ingredients","Beef/veal,Chicken,Pork,Crab,Tuna","Mushrooms,Blend",U.S. and Canada,United States,North Carolina,Chapel Hill,https://www.mushroommeatco.com,2020,"Kesha Stickland, Dan Gardner",BDAC147E-995A-4CE9-9340-ED1734509F3B.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/dG-G2v7nmb8PqLkJVfzizw/KmXHohjmkfAeGeYzyMoEkkqswug2pWBRM-OMJ6zvVkAcmOQ463xpC6cHHlzeCxCaQSsT38I2uY44MXIupYjbCsbNgIiTwQNcvSCPwR4G3R1IM-S2hhRaiv_0YHheJPR1bWPN8aT-i9fyYq_-JXIbCjUdvysOcNYHqc2YuE6SpWDPjw3_NDXBR3qli_HfJCAN/1hLYYbJMZjeOORDvbxCYSgBrYlNBSYc6QOZfA7k_aSA)
Living Jin ,"U.S.-based company that produces agar-agar powder as a substitute for gelatin and other plant-based products for cooking, such as a powder-based cheese called ""Magic Cheese""",Plant-based,"Dairy,Ingredients and inputs",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Cheese,Ingredients",,Agar agar,"Asia Pacific,U.S. and Canada",United States,California,San Jose,https://livingjin.com/,2016,Jina Kim,
Protein Meat ,China-based company that produces plant-based meat using staged temperature-controlled twin-screw extrusion technology,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Chicken,Beef/veal","Soy,Hemp",Asia Pacific,Mainland China,,Shenzhen,http://www.protein-meat.com/,2018,Cheng Wang,00cac01.svg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/tYcUGqCQ929k-vUfOLik1A/dXGBpHK2E8RUYOSL_NNonKfnETJRPOjm3JrC9GMuwSq6PFCQAphX74sQHPKwuRmS2hqAycDMYzSaxq-K4yTt6vUa0YKF8aQpKYxeKJO3on5MGKxfSif2D6WZDC0va4TIz686eIzXB7OaiTSN-2cDvw/Xb38mlkfFM3PyLKYTtso3LoWJdwqhFomBulStavBMug)
HEROTEIN,China-based company that produces plant-based meat using high moisture extrusion technology,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Other meat/seafood","Chicken,Beef/veal","Soy,Wheat,Pea",Asia Pacific,Mainland China,,Shanghai,https://heroprotein.cn/en/,2020,Yichao Weng,
Green Rebel Foods,"Indonesia-based food tech start-up producing and supplying plant-based beef and chicken from plants, with an emphasis on authentic Asian flavors ",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Whole muscle meat/seafood,Cheese","Beef/veal,Chicken","Soy,Mushrooms,Chickpea",Asia Pacific,Indonesia,,Tangerang Selatan,https://greenrebelfoods.com,2020,Max Mandias ,1627718977167.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/IYJkUg_WTl2XlxtMEA4cbA/zGkuX2-rLH9VfhfbEHn9z1LMTahPwLNhdvUKXibArJpnzhgrTvy_FQ9bAk3MPumPlWYP4yp4xClG49zFb8mTyT1TFCwsgQpMUnXXTnO_2asruuD3t9Iv_rlYKET65X7-LqdZbwxFi7qotNrFWXny-w/gf_qO7m0_G7hWLPsSLB8gPcSv6iAvalLlfxjCoIoelE)
New Singularity,Fermentation platform for mycelium-based alternative seafood,Biomass fermentation,Seafood,Specialized (focused on alternative proteins),End product formulation and manufacturing,,Fish,Mycelium,Asia Pacific,Mainland China,,Tianjin,https://www.brinc.io/portfolio/new-singularity/,2020,Gao Li,1690270626433.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/-6tUIHItzgsZP2tcX53YFw/StxSPCcXtYdsxU4UUDMT794qv8YBwCe1pubP44yijw4OHEdoxGYoTYxgJk9y-ZU3J7B8Ca_Bv1xo7CQRRDtuG4ef3jQxDGd0fUvYiNRgbYFZ4fav1Gms3zbJOcWm1Sd0lNahKTSMiJsjI0UFwJzwXg/YudF4MLv2jkITYqwBlOieEfSo95i-HenhnrrTgvaGq8)
"Weixing Import and Export Co., Ltd.",China-based company producing plant-based meat products ,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Pork,Other",Soy,Asia Pacific,Mainland China,,Shaoxing,http://www.weixingmeat.com,2019,"Guangxing
  Yang",logo (7).png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/XOVhg3f6A_Hla7jp4iLmAQ/IqcflGLqpud1WdtfCW1CNuGuBc_AtySDZMMhTPwqPWNuDe4KsKV_2yzYqK5f0Giu_TAmrY9IB3XKaNHBsO4zqDmbwqtS8B9QQf5elpkbwgr_ARhgzqm5-WR1TyrfVoy969Aq-xEoHdD0TY4U2iqjVA/9BUBuUkKFWvUzhVT_k8XhyJjG0TBeRLmrNmMFtaYPxs)
Float Foods,"Singapore-based company that is producing plant-based egg products through their brand ""OnlyEg""",Plant-based,Eggs,Specialized (focused on alternative proteins),End product formulation and manufacturing,,,Pea,Asia Pacific,Singapore,,Singapore,https://www.floatfoods.com,2020,Vinita Choolani,
